主题编号,关键词,详细词
0,"de, 27, 记忆, la, Paris, Mus, elys, 聊天, AI, 这个, le, 2022, 分身, Palace, ELYS","0.270*""de"" + 0.228*""27"" + 0.172*""记忆"" + 0.145*""la"" + 0.059*""Paris"" + 0.059*""Mus"" + 0.004*""elys"" + 0.002*""聊天"" + 0.002*""AI"" + 0.002*""这个"" + 0.002*""le"" + 0.002*""2022"" + 0.002*""分身"" + 0.002*""Palace"" + 0.002*""ELYS"" + 0.002*""Photo"" + 0.002*""es"" + 0.002*""11"" + 0.002*""20"" + 0.002*""13"""
1,"elys, 20, 16, Palace, AI, the, of, Mus, Context, 10, ELYS, 2013, de, 2022, Photo","0.494*""elys"" + 0.260*""20"" + 0.159*""16"" + 0.003*""Palace"" + 0.003*""AI"" + 0.003*""the"" + 0.003*""of"" + 0.003*""Mus"" + 0.003*""Context"" + 0.003*""10"" + 0.003*""ELYS"" + 0.003*""2013"" + 0.003*""de"" + 0.003*""2022"" + 0.003*""Photo"" + 0.003*""11"" + 0.003*""es"" + 0.003*""agent"" + 0.003*""24"" + 0.003*""la"""
2,"elys, testnet, network, 24, de, 10, AI, Palace, es, ELYS, Photo, 2022, 13, agent, 27","0.291*""elys"" + 0.244*""testnet"" + 0.243*""network"" + 0.100*""24"" + 0.004*""de"" + 0.004*""10"" + 0.004*""AI"" + 0.004*""Palace"" + 0.004*""es"" + 0.004*""ELYS"" + 0.004*""Photo"" + 0.004*""2022"" + 0.004*""13"" + 0.004*""agent"" + 0.004*""27"" + 0.004*""20"" + 0.004*""11"" + 0.004*""Mus"" + 0.004*""2013"" + 0.004*""记忆"""
3,"39, de, le, quot, la, 2013, 13, 记忆, 11, of, AI, Photo, 这个, agent, 聊天","0.330*""39"" + 0.267*""de"" + 0.161*""le"" + 0.138*""quot"" + 0.046*""la"" + 0.002*""2013"" + 0.002*""13"" + 0.002*""记忆"" + 0.002*""11"" + 0.002*""of"" + 0.002*""AI"" + 0.002*""Photo"" + 0.002*""这个"" + 0.002*""agent"" + 0.002*""聊天"" + 0.002*""2026"" + 0.002*""Mus"" + 0.002*""2022"" + 0.002*""elys"" + 0.002*""es"""
4,"AI, 2026, quot, Context, 分身, es, 13, 聊天, 20, 27, 39, 16, ELYS, elys, 这个","0.827*""AI"" + 0.099*""2026"" + 0.046*""quot"" + 0.008*""Context"" + 0.001*""分身"" + 0.001*""es"" + 0.001*""13"" + 0.001*""聊天"" + 0.001*""20"" + 0.001*""27"" + 0.001*""39"" + 0.001*""16"" + 0.001*""ELYS"" + 0.001*""elys"" + 0.001*""这个"" + 0.001*""agent"" + 0.001*""记忆"" + 0.001*""Photo"" + 0.001*""Palace"" + 0.001*""11"""
5,"ELYS, 2022, agent, 这个, Photo, Palace, AI, 20, 10, 记忆, 社交, elys, Mus, de, es","0.307*""ELYS"" + 0.249*""2022"" + 0.205*""agent"" + 0.149*""这个"" + 0.028*""Photo"" + 0.002*""Palace"" + 0.002*""AI"" + 0.002*""20"" + 0.002*""10"" + 0.002*""记忆"" + 0.002*""社交"" + 0.002*""elys"" + 0.002*""Mus"" + 0.002*""de"" + 0.002*""es"" + 0.002*""11"" + 0.002*""39"" + 0.002*""13"" + 0.002*""分身"" + 0.002*""Paris"""
6,"11, 2013, 13, 20, 10, es, Mus, 27, de, 24, Paris, AI, 这个, elys, ELYS","0.353*""11"" + 0.324*""2013"" + 0.228*""13"" + 0.006*""20"" + 0.006*""10"" + 0.005*""es"" + 0.004*""Mus"" + 0.004*""27"" + 0.003*""de"" + 0.003*""24"" + 0.003*""Paris"" + 0.003*""AI"" + 0.003*""这个"" + 0.003*""elys"" + 0.003*""ELYS"" + 0.003*""Palace"" + 0.003*""Photo"" + 0.003*""分身"" + 0.003*""2022"" + 0.003*""agent"""
7,"AI, 分身, 社交, Context, 这个, 聊天, 24, 记忆, 16, 11, ELYS, 20, 2013, elys, 13","0.319*""AI"" + 0.226*""分身"" + 0.203*""社交"" + 0.059*""Context"" + 0.056*""这个"" + 0.052*""聊天"" + 0.030*""24"" + 0.016*""记忆"" + 0.004*""16"" + 0.003*""11"" + 0.002*""ELYS"" + 0.002*""20"" + 0.002*""2013"" + 0.001*""elys"" + 0.001*""13"" + 0.001*""Mus"" + 0.001*""Photo"" + 0.001*""27"" + 0.001*""agent"" + 0.001*""Palace"""
8,"es, Photo, Mus, Paris, 39, 24, de, 2022, the, le, la, of, AI, 27, Context","0.270*""es"" + 0.205*""Photo"" + 0.171*""Mus"" + 0.138*""Paris"" + 0.056*""39"" + 0.037*""24"" + 0.033*""de"" + 0.012*""2022"" + 0.004*""the"" + 0.004*""le"" + 0.004*""la"" + 0.003*""of"" + 0.003*""AI"" + 0.003*""27"" + 0.003*""Context"" + 0.003*""13"" + 0.003*""20"" + 0.003*""elys"" + 0.003*""Palace"" + 0.003*""ELYS"""
9,"AI, 2026, 10, 2022, elys, quot, 这个, testnet, network, ELYS, 11, agent, 分身, 社交, la","0.294*""AI"" + 0.248*""2026"" + 0.127*""10"" + 0.016*""2022"" + 0.015*""elys"" + 0.014*""quot"" + 0.013*""这个"" + 0.013*""testnet"" + 0.012*""network"" + 0.012*""ELYS"" + 0.011*""11"" + 0.011*""agent"" + 0.011*""分身"" + 0.011*""社交"" + 0.011*""la"" + 0.010*""de"" + 0.010*""Palace"" + 0.010*""es"" + 0.010*""Photo"" + 0.010*""Mus"""
10,"Palace, 10, 聊天, 这个, 分身, de, network, agent, elys, AI, la, 记忆, 2022, 20, 2013","0.355*""Palace"" + 0.290*""10"" + 0.148*""聊天"" + 0.031*""这个"" + 0.029*""分身"" + 0.006*""de"" + 0.006*""network"" + 0.006*""agent"" + 0.006*""elys"" + 0.005*""AI"" + 0.005*""la"" + 0.005*""记忆"" + 0.005*""2022"" + 0.005*""20"" + 0.005*""2013"" + 0.005*""es"" + 0.005*""Photo"" + 0.005*""11"" + 0.005*""ELYS"" + 0.005*""27"""
11,"the, of, Palace, AI, de, 39, quot, le, la, elys, testnet, network, es, Photo, Paris","0.359*""the"" + 0.320*""of"" + 0.122*""Palace"" + 0.083*""AI"" + 0.007*""de"" + 0.007*""39"" + 0.007*""quot"" + 0.005*""le"" + 0.004*""la"" + 0.004*""elys"" + 0.004*""testnet"" + 0.004*""network"" + 0.004*""es"" + 0.003*""Photo"" + 0.003*""Paris"" + 0.003*""2022"" + 0.003*""ELYS"" + 0.003*""27"" + 0.003*""11"" + 0.003*""20"""
