主题编号,关键词,详细词
0,"ai, 03, 真的, 短剧, 数字, 很多, 真人, 40, 还是, 已经","0.070*""ai"" + 0.038*""03"" + 0.023*""真的"" + 0.022*""短剧"" + 0.020*""数字"" + 0.020*""很多"" + 0.018*""真人"" + 0.017*""40"" + 0.016*""还是"" + 0.013*""已经"" + 0.013*""老师"" + 0.011*""感觉"" + 0.011*""现在"" + 0.010*""声音"" + 0.010*""出来"""
1,"2026, GPT, CEO, Pro, 2024, 12, la, 400, 16, 2023","0.087*""2026"" + 0.084*""GPT"" + 0.042*""CEO"" + 0.036*""Pro"" + 0.034*""2024"" + 0.027*""12"" + 0.024*""la"" + 0.023*""400"" + 0.021*""16"" + 0.018*""2023"" + 0.018*""des"" + 0.018*""VLA"" + 0.016*""02"" + 0.016*""du"" + 0.016*""Agent"""
2,"39, de, skill, Elys, 28, es, GitHub, IP, Champs, 70","0.095*""39"" + 0.081*""de"" + 0.074*""skill"" + 0.062*""Elys"" + 0.029*""28"" + 0.028*""es"" + 0.024*""GitHub"" + 0.021*""IP"" + 0.019*""Champs"" + 0.018*""70"" + 0.014*""Paris"" + 0.014*""les"" + 0.013*""call"" + 0.013*""01"" + 0.013*""Palais"""
3,"11, 10, 30, 2025, 20, deepseek, PPT, doge, Ai, 23","0.076*""11"" + 0.069*""10"" + 0.068*""30"" + 0.067*""2025"" + 0.066*""20"" + 0.046*""deepseek"" + 0.040*""PPT"" + 0.037*""doge"" + 0.036*""Ai"" + 0.032*""23"" + 0.031*""31"" + 0.024*""the"" + 0.023*""DeepSeek"" + 0.023*""18"" + 0.020*""in"""
4,"quot, M7, DMH, CLTC, 160km, mCDC, 126mm, iF, 527L, 15","0.242*""quot"" + 0.160*""M7"" + 0.076*""DMH"" + 0.049*""CLTC"" + 0.047*""160km"" + 0.047*""mCDC"" + 0.043*""126mm"" + 0.036*""iF"" + 0.027*""527L"" + 0.021*""15"" + 0.016*""24"" + 0.014*""200"" + 0.013*""25"" + 0.011*""蛋挞"" + 0.011*""永生"""
5,"ai, Meta, Agent, 视频, 3D, API, 生成, 推荐, 支持, 平台","0.241*""ai"" + 0.074*""Meta"" + 0.048*""Agent"" + 0.028*""视频"" + 0.027*""3D"" + 0.023*""API"" + 0.022*""生成"" + 0.017*""推荐"" + 0.011*""支持"" + 0.011*""平台"" + 0.011*""捂脸"" + 0.010*""ChatGPZuck"" + 0.010*""直接"" + 0.010*""朋友"" + 0.009*""AIGC"""
6,"ai, 人类, 数字, 就是, 工作, 聊天, 现在, 不会, 只是, 因为","0.041*""ai"" + 0.023*""人类"" + 0.016*""数字"" + 0.012*""就是"" + 0.010*""工作"" + 0.010*""聊天"" + 0.010*""现在"" + 0.009*""不会"" + 0.009*""只是"" + 0.008*""因为"" + 0.008*""分身"" + 0.008*""机器人"" + 0.008*""发展"" + 0.007*""工具"" + 0.007*""agent"""
7,"Claude, OpenClaw, OpenAI, ChatGPT, APP, Anthropic, 14, agent, le, Code","0.104*""Claude"" + 0.085*""OpenClaw"" + 0.081*""OpenAI"" + 0.076*""ChatGPT"" + 0.074*""APP"" + 0.035*""Anthropic"" + 0.026*""14"" + 0.025*""agent"" + 0.025*""le"" + 0.022*""Code"" + 0.022*""Gemini"" + 0.020*""Token"" + 0.016*""500"" + 0.014*""GLM"" + 0.013*""5000"""
8,"模型, 就是, Igor, 数字, 如果, 训练, 语言, 人类, 需要, 公司","0.031*""模型"" + 0.013*""就是"" + 0.011*""Igor"" + 0.011*""数字"" + 0.011*""如果"" + 0.011*""训练"" + 0.010*""语言"" + 0.010*""人类"" + 0.008*""需要"" + 0.008*""公司"" + 0.008*""xAI"" + 0.007*""还是"" + 0.007*""数据"" + 0.007*""使用"" + 0.007*""不是"""
9,"ai, 问题, 100, 不是, 社交, 觉得, 就是, 现在, 我们, 知道","0.035*""ai"" + 0.026*""问题"" + 0.017*""100"" + 0.017*""不是"" + 0.013*""社交"" + 0.010*""觉得"" + 0.010*""就是"" + 0.010*""现在"" + 0.010*""我们"" + 0.010*""知道"" + 0.010*""还是"" + 0.009*""因为"" + 0.009*""时候"" + 0.009*""真的"" + 0.009*""需要"""
