搜索关键词,视频BV号,视频标题,评论作者,评论者ID,性别,评论时间,IP属地,点赞数,评论内容
elys,BV1mPfwBeE2E,No.4 Elys（AI分身社交）： 每天学习一个AI产品,Yanitsyan,372994411.0,保密,2026-02-26 15:39:37,,2.0,蹲一个邀请码谢谢大佬们
elys,BV1mPfwBeE2E,No.4 Elys（AI分身社交）： 每天学习一个AI产品,爱做手办的小丑皇,526124675.0,保密,2026-03-23 18:36:52,,1.0,求一个🐴
elys,BV1mPfwBeE2E,No.4 Elys（AI分身社交）： 每天学习一个AI产品,正阳的家,368341684.0,男,2026-02-26 14:20:41,,1.0,评论区求个邀请码
elys,BV1mPfwBeE2E,No.4 Elys（AI分身社交）： 每天学习一个AI产品,爱丽丝与泽纳斯,1337914892.0,保密,2026-04-10 21:51:04,,0.0,不知道有没有但进去了…有五个，用了请留一下哦[来古-注意]
elys,BV1mPfwBeE2E,No.4 Elys（AI分身社交）： 每天学习一个AI产品,松灯松灯,509227606.0,保密,2026-03-03 15:59:32,,0.0,求个邀请码[打call]
elys,BV1mPfwBeE2E,No.4 Elys（AI分身社交）： 每天学习一个AI产品,逃离CBD的游牧计划,477009308.0,保密,2026-02-28 13:23:49,,0.0,同求邀请码
elys,BV1mPfwBeE2E,No.4 Elys（AI分身社交）： 每天学习一个AI产品,耶格尔牢喵,115292826.0,女,2026-02-26 20:48:47,,0.0,私信出邀请码
elys,BV1mPfwBeE2E,No.4 Elys（AI分身社交）： 每天学习一个AI产品,Rocketeer44dere,185023205.0,保密,2026-02-26 20:36:06,,0.0,私信给邀请码[doge]
elys,BV1mPfwBeE2E,No.4 Elys（AI分身社交）： 每天学习一个AI产品,狱梦Yum,3537117036677620.0,男,2026-02-26 18:35:57,,0.0,大佬，求个邀请码
elys,BV1mPfwBeE2E,No.4 Elys（AI分身社交）： 每天学习一个AI产品,晓古城-KaleidoBlood,85626819.0,保密,2026-02-26 15:18:45,,0.0,评论区求一个邀请码，拜托惹
elys,BV1mPfwBeE2E,No.4 Elys（AI分身社交）： 每天学习一个AI产品,壮哉我万事屋,220012691.0,男,2026-03-19 17:58:30,,0.0,求个邀请码，用完返一个给老板
elys,BV1mPfwBeE2E,No.4 Elys（AI分身社交）： 每天学习一个AI产品,缘愁万事空,389227706.0,保密,2026-02-24 22:20:08,,0.0,评论区求个邀请码[蹲蹲]
elys,BV1mPfwBeE2E,No.4 Elys（AI分身社交）： 每天学习一个AI产品,不洗头的牛油果,26141107.0,保密,2026-02-22 20:35:26,,0.0,感谢分享[打call]
elys,BV1mPfwBeE2E,No.4 Elys（AI分身社交）： 每天学习一个AI产品,航のSakuraこ,1418305978.0,保密,2026-03-14 12:29:06,,0.0,求码
elys,BV1mPfwBeE2E,No.4 Elys（AI分身社交）： 每天学习一个AI产品,爱做手办的小丑皇,526124675.0,保密,2026-03-14 11:20:02,,0.0,求码
elys,BV1mPfwBeE2E,No.4 Elys（AI分身社交）： 每天学习一个AI产品,随便5531,1349983274.0,男,2026-02-28 22:26:39,,0.0,私信出邀请码
elys,BV1mPfwBeE2E,No.4 Elys（AI分身社交）： 每天学习一个AI产品,开饭速度快过博尔特,8246495.0,男,2026-02-27 00:31:03,,0.0,大佬们 求一个邀请码呜呜 求求了
elys,BV1mPfwBeE2E,No.4 Elys（AI分身社交）： 每天学习一个AI产品,qieqie尚能饭丶,473043653.0,保密,2026-02-26 20:28:51,,0.0,求个邀请码 大佬们
elys,BV1mPfwBeE2E,No.4 Elys（AI分身社交）： 每天学习一个AI产品,Awkwaless_文若桑,156734950.0,男,2026-02-26 17:14:28,,0.0,总登录失败怎么回事
elys,BV1mPfwBeE2E,No.4 Elys（AI分身社交）： 每天学习一个AI产品,风起林云,1931785392.0,保密,2026-02-26 16:48:09,,0.0,帅哥美女们，麻烦给个邀请码
elys,BV1g5w7z9EWN,我的分身强见了一百个人，ELYS深度测评,爱做手办的小丑皇,526124675.0,保密,2026-03-23 18:37:38,,0.0,有邀请码么？
elys,BV1g5w7z9EWN,我的分身强见了一百个人，ELYS深度测评,瞳あずさ,3568888.0,女,2026-03-16 19:58:24,,0.0,老公必火
elys,BV1xzd8BeEts,Les Champs-Elysées,余月初雨,383310794.0,男,2026-04-16 19:22:50,,4.0,@被害妄想携带人类 @石上叁秊 @不对劲的星熊勇仪 @Eye_of_Cthulhu_ @舰长mr @brillAR_铃兰
elys,BV1xzd8BeEts,Les Champs-Elysées,sslllllllllll,259900022.0,保密,2026-04-16 22:19:08,,3.0,"小提琴拨弦 
帕露西可爱
帕露帕露"
elys,BV1xzd8BeEts,Les Champs-Elysées,罗梅弗_Romefer,3706949111646417.5,保密,2026-04-16 18:58:04,,3.0,fumofumo
elys,BV1xzd8BeEts,Les Champs-Elysées,Flandre_苍穹,1522370957.0,男,2026-04-16 20:12:07,,3.0,可爱帕露西[夜雀食堂_我好嫉妒啊]
elys,BV1xzd8BeEts,Les Champs-Elysées,绒布小袋,3537110252390679.0,保密,2026-04-19 13:35:30,,2.0,香榭丽舍哇，居然是拨弦的小提琴[星星眼]
elys,BV1xzd8BeEts,Les Champs-Elysées,不会取名的屑-_,3546938601376467.0,保密,2026-04-16 23:03:10,,2.0,帕露可爱🍋
elys,BV1xzd8BeEts,Les Champs-Elysées,飘落420,1123724185.0,保密,2026-04-16 19:52:36,,2.0,🍋🍋🍋
elys,BV1xzd8BeEts,Les Champs-Elysées,比那名居饺子,1037021869.0,男,2026-04-16 19:53:51,,2.0,可爱🍋
elys,BV1xzd8BeEts,Les Champs-Elysées,热爱游戏的扬,430571313.0,男,2026-04-17 14:08:12,,1.0,[doge][支持]
elys,BV1xzd8BeEts,Les Champs-Elysées,二伯就要戴婚纱,3493119175690499.0,女,2026-04-18 19:13:18,,1.0,原来小提琴🎻还可以这样演奏[初音未来_大笑][思考]
elys,BV1xzd8BeEts,Les Champs-Elysées,黑川赤音酱,1902730859.0,男,2026-04-17 19:29:48,,1.0,柠檬宝宝卡哇伊[打call][打call][打call]
elys,BV1xzd8BeEts,Les Champs-Elysées,宫波点心子,1528886599.0,男,2026-04-16 22:26:04,,1.0,fumofumo🍋
elys,BV1xzd8BeEts,Les Champs-Elysées,RaeA_A,2106712777.0,男,2026-04-16 21:01:43,,1.0,fumofumo🍋
elys,BV1xzd8BeEts,Les Champs-Elysées,猫车達人,3546754288978179.0,男,2026-04-16 21:00:20,,1.0,fumo🍋
elys,BV1xzd8BeEts,Les Champs-Elysées,无敌大雕哥,401821281.0,男,2026-04-16 20:02:43,,1.0,可爱[夜雀食堂_我好嫉妒啊]
elys,BV1xzd8BeEts,Les Champs-Elysées,冰与く之歌,498298789.0,保密,2026-04-16 19:17:41,,1.0,可爱
elys,BV1dDZ4BLEp8,社恐i人秒变社交悍匪？我的AI分身替我撩了全网 | 揭秘Elys“睡后社交”的疯狂玩法 | 阿里蚂蚁重金押注的“赛博分身”实测 | AI社交,闻音,2901717.0,保密,2026-02-17 08:46:33,,5.0,感觉没什么用，因为99%的人日常生活和精力不在这个app里，还要在这个app里交互，反而消耗人的精力，增加耗时。
elys,BV1dDZ4BLEp8,社恐i人秒变社交悍匪？我的AI分身替我撩了全网 | 揭秘Elys“睡后社交”的疯狂玩法 | 阿里蚂蚁重金押注的“赛博分身”实测 | AI社交,FW-027,499411011.0,男,2026-04-19 04:41:55,,0.0,求一个邀请码[大哭]
elys,BV1dDZ4BLEp8,社恐i人秒变社交悍匪？我的AI分身替我撩了全网 | 揭秘Elys“睡后社交”的疯狂玩法 | 阿里蚂蚁重金押注的“赛博分身”实测 | AI社交,逃离CBD的游牧计划,477009308.0,保密,2026-02-28 13:23:04,,0.0,同问邀请码
elys,BV1dDZ4BLEp8,社恐i人秒变社交悍匪？我的AI分身替我撩了全网 | 揭秘Elys“睡后社交”的疯狂玩法 | 阿里蚂蚁重金押注的“赛博分身”实测 | AI社交,jsj990,428332526.0,保密,2026-02-16 09:30:37,,0.0,灵姐，能给我一个邀请码吗？
elys,BV1dDZ4BLEp8,社恐i人秒变社交悍匪？我的AI分身替我撩了全网 | 揭秘Elys“睡后社交”的疯狂玩法 | 阿里蚂蚁重金押注的“赛博分身”实测 | AI社交,唐曾念经,442623143.0,男,2026-02-15 23:52:34,,0.0,灵姐，新春快乐，可以给我发一个邀请码吗，好想用一下[喜欢]
elys,BV1dDZ4BLEp8,社恐i人秒变社交悍匪？我的AI分身替我撩了全网 | 揭秘Elys“睡后社交”的疯狂玩法 | 阿里蚂蚁重金押注的“赛博分身”实测 | AI社交,salt211,285050674.0,保密,2026-02-24 16:35:55,,0.0,"哪里找邀请码呢？
先献上两个币"
elys,BV1dDZ4BLEp8,社恐i人秒变社交悍匪？我的AI分身替我撩了全网 | 揭秘Elys“睡后社交”的疯狂玩法 | 阿里蚂蚁重金押注的“赛博分身”实测 | AI社交,籽小橙,620299157.0,男,2026-02-21 22:35:35,,0.0,感谢灵姐分享，能给个邀请码吗[呲牙]
