主题编号,Top15关键词,详细词,是否相关,主题名称,主题说明
0,"ai, 就是, 人类, 不是, 需要, 现在, 发展, 因为, 工作, 技术, 但是, 模型, 工具, 问题, 这个","0.086*""ai"" + 0.015*""就是"" + 0.015*""人类"" + 0.015*""不是"" + 0.013*""需要"" + 0.012*""现在"" + 0.011*""发展"" + 0.010*""因为"" + 0.010*""工作"" + 0.009*""技术"" + 0.009*""但是"" + 0.009*""模型"" + 0.009*""工具"" + 0.008*""问题"" + 0.008*""这个"" + 0.008*""东西"" + 0.008*""使用"" + 0.008*""这些"" + 0.008*""行业"" + 0.007*""这种""",不相关,泛AI技术讨论,讨论AI对人类工作的影响、技术发展等泛话题
1,"quot, deepseek, Ai, PPT, DeepSeek, 21, get, 20, 法律, 利用, 27, Kimi, 18, 2026, 生产","0.538*""quot"" + 0.058*""deepseek"" + 0.058*""Ai"" + 0.052*""PPT"" + 0.034*""DeepSeek"" + 0.029*""21"" + 0.023*""get"" + 0.017*""20"" + 0.011*""法律"" + 0.010*""利用"" + 0.010*""27"" + 0.009*""Kimi"" + 0.008*""18"" + 0.008*""2026"" + 0.008*""生产"" + 0.008*""AIGC"" + 0.006*""70"" + 0.005*""2025"" + 0.004*""15"" + 0.004*""11""",不相关,AI工具使用,讨论DeepSeek、Kimi等AI工具的使用
2,"数字, doge, ai, 免费, 金箍, 声音, 分身, 工具, 模型, GLM, VLA, 需要, 大佬, 已经, 使用","0.069*""数字"" + 0.068*""doge"" + 0.037*""ai"" + 0.027*""免费"" + 0.024*""金箍"" + 0.018*""声音"" + 0.016*""分身"" + 0.016*""工具"" + 0.016*""模型"" + 0.015*""GLM"" + 0.014*""VLA"" + 0.013*""需要"" + 0.013*""大佬"" + 0.012*""已经"" + 0.011*""使用"" + 0.011*""分享"" + 0.011*""现在"" + 0.010*""赛博"" + 0.010*""工作"" + 0.010*""老师""",相关,AI数字分身,讨论AI数字分身、声音克隆、赛博分身等
3,"de, 39, Elys, la, es, le, du, et, des, Champs, Palais, pr, les, 星星, un","0.111*""de"" + 0.109*""39"" + 0.059*""Elys"" + 0.047*""la"" + 0.035*""es"" + 0.034*""le"" + 0.032*""du"" + 0.031*""et"" + 0.030*""des"" + 0.026*""Champs"" + 0.025*""Palais"" + 0.023*""pr"" + 0.018*""les"" + 0.017*""星星"" + 0.016*""un"" + 0.015*""Paris"" + 0.015*""en"" + 0.015*""Grand"" + 0.014*""Macron"" + 0.014*""au""",不相关,法语/ELYS品牌噪声,包含大量法语词汇和爱丽舍宫相关内容
4,"Meta, CEO, Claude, GPT, 15, ChatGPT, OpenAI, 视频, 一下, 最好, 语言, 如果, 大家, 整理, 笔记","0.075*""Meta"" + 0.053*""CEO"" + 0.051*""Claude"" + 0.044*""GPT"" + 0.031*""15"" + 0.030*""ChatGPT"" + 0.022*""OpenAI"" + 0.020*""视频"" + 0.018*""一下"" + 0.017*""最好"" + 0.016*""语言"" + 0.016*""如果"" + 0.016*""大家"" + 0.016*""整理"" + 0.016*""笔记"" + 0.014*""交流"" + 0.013*""吃瓜"" + 0.013*""ChatGPZuck"" + 0.012*""希望"" + 0.012*""Anthropic""",不相关,大模型对比,讨论各大AI模型（Claude、GPT等）的对比
5,"ai, 还是, 这个, 视频, 现在, 问题, 真的, 出来, 如果, 数字, 真人, 就是, 很多, 时候, 聊天","0.061*""ai"" + 0.027*""还是"" + 0.023*""这个"" + 0.021*""视频"" + 0.018*""现在"" + 0.017*""问题"" + 0.015*""真的"" + 0.014*""出来"" + 0.013*""如果"" + 0.013*""数字"" + 0.013*""真人"" + 0.012*""就是"" + 0.012*""很多"" + 0.011*""时候"" + 0.009*""聊天"" + 0.009*""这种"" + 0.009*""感觉"" + 0.009*""但是"" + 0.008*""喜欢"" + 0.008*""那么""",相关,AI社交互动,讨论AI与真人聊天、社交互动体验
6,"Agent, OpenClaw, agent, Skill, 24, Claude, the, Token, Code, 直接, 回复, LLM, 属于, Prompt, to","0.074*""Agent"" + 0.072*""OpenClaw"" + 0.043*""agent"" + 0.040*""Skill"" + 0.039*""24"" + 0.034*""Claude"" + 0.025*""the"" + 0.022*""Token"" + 0.021*""Code"" + 0.016*""直接"" + 0.016*""回复"" + 0.016*""LLM"" + 0.015*""属于"" + 0.014*""Prompt"" + 0.014*""to"" + 0.014*""API"" + 0.014*""prompt"" + 0.013*""token"" + 0.012*""明白"" + 0.012*""这波""",相关,AI Agent技术,讨论AI Agent、OpenClaw、Skill等技术实现
7,"模型, M7, DMH, ai, 2024, CLTC, 200, mCDC, 160km, iF, 126mm, CEO, COO, 用户, APP","0.068*""模型"" + 0.059*""M7"" + 0.028*""DMH"" + 0.021*""ai"" + 0.019*""2024"" + 0.017*""CLTC"" + 0.017*""200"" + 0.016*""mCDC"" + 0.015*""160km"" + 0.014*""iF"" + 0.013*""126mm"" + 0.012*""CEO"" + 0.012*""COO"" + 0.011*""用户"" + 0.010*""APP"" + 0.010*""Seedance"" + 0.009*""不了"" + 0.009*""功能"" + 0.009*""527L"" + 0.009*""现在""",不相关,汽车参数,讨论汽车型号参数（M7、CLTC续航等）
8,"短剧, 2026, 30, 10, 20, 2025, 100, 50, IP, 真人, 40, 00, 12, 80, 16","0.080*""短剧"" + 0.065*""2026"" + 0.041*""30"" + 0.034*""10"" + 0.029*""20"" + 0.028*""2025"" + 0.021*""100"" + 0.018*""50"" + 0.017*""IP"" + 0.016*""真人"" + 0.016*""40"" + 0.015*""00"" + 0.014*""12"" + 0.012*""80"" + 0.012*""16"" + 0.012*""Pro"" + 0.010*""60"" + 0.010*""UP"" + 0.010*""随便"" + 0.010*""自动""",不相关,短剧娱乐,讨论短剧IP、真人演员等娱乐内容
9,"skill, ai, 就是, GitHub, 时代, 400, 3D, colleague, 11, 岗位, 机器人, 我们, 这个, 工具, 03","0.101*""skill"" + 0.030*""ai"" + 0.030*""就是"" + 0.029*""GitHub"" + 0.029*""时代"" + 0.024*""400"" + 0.021*""3D"" + 0.017*""colleague"" + 0.016*""11"" + 0.015*""岗位"" + 0.014*""机器人"" + 0.014*""我们"" + 0.013*""这个"" + 0.012*""工具"" + 0.011*""03"" + 0.011*""出现"" + 0.010*""这样"" + 0.009*""喜极而泣"" + 0.009*""技能"" + 0.009*""不好""",不相关,编程岗位,讨论GitHub、Skill、编程岗位等技术话题
